,Title,Location,Link,Company,Date Extracted,Cluster,Tag
0,Data Analyst Intern,India (Remote),https://www.linkedin.com/jobs/view/4043028667/?eBP=CwEAAAGSZ9b-JATy1cfqI6ECm-X5Ke8YAjYZJxlPjbrJONnd-wiRWZd_h1MtFHIcJJJNT0VirhxsdxLn6XKTezx8crwQ_V0cx97Z3Jw4XuKhGt8vEHxZvYDWMhO7I1aekfyInz-4i2PcHHmwFCt-QHTFuylZ9f8lOsqCtzJoMehsW_a6oWkvBiEKDSDveyX5m9FkdXon5w9IieiFj55BfDZSe7nbCNb5hYlotELoJnSpRKActNGH5eIr0YpBwKcS9zQWjyPRWQ99v1duIwoDoy7EYwCxmDuKxcvTQgyd8kKWfrfrxSyOwEnpGoOguIc9d_JdPPZXnFHlsFNWnS9dNWNQv-v8ZtTdMBDmjfD4u1HesmR6Ea3l035AuSc2dFUTPF-9idPumDcM8vGoRQBbYwhIQLgZ5BrHDZWg4unV7C-yf5gVMPMm241DCSwn5-leZ6WJ02p-kJdt7Q&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=RsahjnLMTY3ZtWSWwmOg6Q%3D%3D&trk=flagship3_jobs_discovery_jymbii,Unified Mentor,07-10-2024,2,Analytics
1,SDE Intern,India (Remote),https://www.linkedin.com/jobs/view/4038818327/?eBP=CwEAAAGSZ9b-JXCvNecAoOdxHAZsFP2gV4ANFzNv4J3NjG1XAPoVEkZtYOAawaQHfSSW-upOv0VTHu9sDohAjsZJFg1gG37YhKGJJjmqjEYoASuBhGHBsjaJcB8KLWlU4STMc_c4KEhbtDdvAkMTej7HMHFzxUkVU8DSgW53bGvTjOlcnHkrEvUeIPq8u8-2K5t-qSTlD4Ax7CPVKQueY91rJ6e6LwKIbjLRs2m2XMB3slVAhWvzGJxIRSscK8hGZ0Zqczbz0dmCKsXRPjRlNNCDtPEh9U6Hsntt-GJQVMkRelnRhZftAzktG5B58qUkK1LJRCI0m6N2dGUIilridJ5nOmqyvj6Ml8UsmpzYZAYrUbOHGK9QOnoYa_iAlFEIS4J6OjDC_vFVQ_m_XzvAJoNVGneFZo6BBRFfwOV2VLRLnFaKS7QOAmle9Y_CYW2SicH5iA-MTWcbj7vBg-tmEQ&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=hvxVBwnGF6CeatX0%2Buc1bQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,Contlo,07-10-2024,0,Others
2,Data Analyst-Trainee,India (Remote),https://www.linkedin.com/jobs/view/4043031125/?eBP=CwEAAAGSZ9b-Jd0GNvh4-GxOsDlOpkADNtlT5H1pt98NaxPoooP7PY9r522H8XyXRdNl2PXeEFqM0_np2y6fm15zFcFHFZWFt1p8chpPyNiiMY41_U6WKubI510_XliEMJBG7vVjbwBvDEpOJZB0THKkANqKr73cil74-SUvu1pg2I49gJgME41LaLURVhQWDfmN4yJDQzb02RLpt7uCRj3pzB9UXpxoXnGvRyN2SZMbfRSyO0mGXsTlxsggC4x4o23dYl0Ig4_EWqJrCm-QCCcdzBd2irE1K8-V9Qav0szBiyuBaFiLxUdU2fEneOyPgT3iWe8EAnzsD7l0QTQYkfEl--BkZJ1AFFza-xooFRAS8Iz1xIeMKNlZ5F_QU1V6a9avXtIhlcb7lv72EEF4Z7ObjpDORsngiP-lzN71TnuQrO7Iy1cJurtSdzc4UgiAdLTkYR_Wf5Eyxw&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=25a61UGpd0f4I9cq5cFzKA%3D%3D&trk=flagship3_jobs_discovery_jymbii,Unified Mentor,07-10-2024,2,Analytics
3,Data or Business Analyst,India (Remote),https://www.linkedin.com/jobs/view/4042512761/?eBP=CwEAAAGSZ9b-JSs7bNiov6GcXCyzIeGIk_g0j1fbfoI_tVCdpE3ik6xXXwNx16f6H9H_JFCGgJkmpBKoJn3EccfZibcaOsMomSsW0uWgzNXDDZvPRygbcwSfuh1R8zo-1yuy-GXGnBn3Bij0B8PrcJ8Db6cccCyfKYlPhddivKhFJM6zkvS9AVAwyQv8q3fAgbgImRGO4_ka6Uab6Gtl4b94z8Xrp9ixnF05BZ0UHoK1veQ__C7eEFcva-IZYMus2qSS-Xc0FAdN0cJVWDQg9V7U8ji6ukCAvtI4X8KB3YyBliS0-ihcsofYD3aI1truKKXKHdg4pvluf_CvJYTpR4KbaZH8IzlpCke1446fT7_1Kc17XhYrFVPCA0zek0OH4m8F2vmQhLMuvvrR8evlpNwQdjnFqi0lWQWs-THkqVVinTWjLdWDwPwzisPSAztLRCB0jtKWDq_Cyu83V3g&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=vIlNOsowYNfTmq3Tc%2Bql1w%3D%3D&trk=flagship3_jobs_discovery_jymbii,AKS ProTalent,07-10-2024,2,Analytics
4,Computer Vision Engineer,India (Remote),https://www.linkedin.com/jobs/view/4042533030/?eBP=CwEAAAGSZ9b-JadIc9sByCKggXiY_pmWpSQQNkSzx8BgD_VtnGYW-iiEEiu6jul6SPBWJ5OBwY5pSAYyaubdLv6E5ibowgpBiSLTlMx0MNxNdcBOC14FvwZVjIPLkP6vCaUByvjtURiyEDrXl6ao81cEcfgl5OWCy7Z1heilEWOuNbiqNfZhNss4nEYPSz5VUXSgpn4cJLtPvnylf3Vqlqf1JIxAwP56FH79VSogptcnbZjiwXTdnBKc2SQuad233YZGSxnr7h-rZ0y-CjRAR3d_fjIZ0yfzU6GJwu2L-7NTJ63h1tznjslL2mF2bKepDhXNZk4FK_k6dATL-L9vdN_7_DxaQwr3OQv8bPrRSVAj20zXscQLBmbYv0XVAz_y6EzwmkwcJZjGNYGgLLp-Xk-vkM6bfpitRhDlV5Zw3FRVep76uJbEZRAQVZ7GTPJVDlQevLXpsPEPfL2x5yWC215LCHAYdJfvDOJYzln0hxU9MIEI6g1RRqs6zg&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=qxRGU2e5Bn45vevRckc1pQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,KoiReader Technologies,07-10-2024,3,Development and Research
5,Intern - Fashion Data Tagging and Intelligence,India (Remote),https://www.linkedin.com/jobs/view/4033888516/?eBP=CwEAAAGSZ9b-JUxhlvOcqENqHEQLUYlxT1-msofW-JNc6PFDl7_DvHnW2bPZQgnRQl61qxjyLGvjJUAjAKJac7DS7SgDvf_2z9IpblKZsfdr7xJpQBJpASssZav5WcjDJOZCIYsqJaObynN4KAYofq9be3mtTu_EKqiqV_zB519SdBOdZmwUzKR8tmsIf_qLkj5gmxIdWfMg4t7-vnbTBPGwG3GdADCt7cSaL8c_0RyPbHb9Q62xO3q0v2-rpqKf_PD6EzNjCJ0DAVGd6AEURnob-a1fnbvoTiSQbQ6Gw_GkKhhT_uyeXJOFmnLk0N8Oxb-XF36p9ggNY0_8r3YlzkaQuaH-nqI2DQpjaAl-CqqCzTszaWeGeFFb_i-wVQ7L_OXftas-TzAoAxeg9HL1JaDZQSry1m9_M2ZCMpEEKfiicZPcHf7qo5pSWNe4&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=lIrURgLcdFzrxAhxym7I3A%3D%3D&trk=flagship3_jobs_discovery_jymbii,Thimblerr,07-10-2024,0,Others
6,Data Engineer Intern,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4032639512/?eBP=BUDGET_EXHAUSTED_JOB&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=4KxzSedYY4WfPjfXRbKh1A%3D%3D&trk=flagship3_jobs_discovery_jymbii,Aspire,07-10-2024,0,Others
14,Prompt | Python Engineer | Remoto,India (Remote),https://www.linkedin.com/jobs/view/4040899365/?eBP=BUDGET_EXHAUSTED_JOB&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=0cPD8RlLI9nLx%2BU3GK67oA%3D%3D&trk=flagship3_jobs_discovery_jymbii,myGwork - LGBTQ+ Business Community,07-10-2024,3,Development and Research
15,Python Developer (Gen AI),India (Remote),https://www.linkedin.com/jobs/view/4044534675/?eBP=CwEAAAGSZ9b-JYm1huH9OvVCN-tmO5y8phzm2LhOpGoOUmxTbVMwaauO8l8fBf2P95RHJ7Cm6wm2nQ9opyNmwLhZpYgRHKdcZ-51WQtZNBGANtNRoOfEXx1lpnkOtAOh2REuARcCybPAeQLE5SvE8_MQBNVVC6H8DOR5WmFe1yudXYg0HYXv4eHRbAU06As7LfDMr7u1DVPqVtuwAxzFZ4aAHYnuPfxRVAkm-jiNyao3ADaNvdzjaxfEQRLfK_Myewuz7JVa_xQLDXCdxnPEFfdhwhAjYo5wuNX0TFIoGWVoblzPAO6fsRD82VCDZrBQa5RBo5UMP0MvCZsqHkp3Jb0ClTKWjmXSouxp8HVGUIlJnVhG94crdNSpHlvVIYn1rKx4kokelFTHnjLdWxPiDz55BfIgzMKRCDq9fAA8ljH23PWh9kP-bNJzynecMxj8a-v95ue04ixd32YEAjxdbQ&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=7YLTCmcAYrR3Nix7HkL9EA%3D%3D&trk=flagship3_jobs_discovery_jymbii,viamagus,07-10-2024,3,Development and Research
16,Digital Data Analyst,"Pune, Maharashtra, India (Remote)",https://www.linkedin.com/jobs/view/4028948977/?eBP=CwEAAAGSZ9b-JYExyuW4Zf-lNdRthwXxlCJ-iES6xEmnVw7hpftn006Sw21ZRJ7LZsPDypyNMKvvG3qVH0Jc-Gy372aaUeB-DWdX0EcIQVQWX99oMcL4IPv9lHkE3MHKBFg6R4yC4_jxcak8XBl9G8Cf6yYM_CZOrE_oIH2A-ZOvLnVG-eZa6emO_DjGM0yiPirR2Z0fUxLGZVVu8rrpKftzyawxxxL2w0cLX1UJPKi-Mr7StA26BRQ32-5S9D4HXRB7KW7arSJTf6kdOKeWQBiTuvPWsX1gPW91yF0pHALlhtY-LLBRzH0cmlLRVm21M9BrDKsJZ7Slo8cjZTdJPwbN_QOnXUQ6ZSA4AWMR01J-w6LWWLjcczgXpJg5HMASTB_zhUTaZUlooFDPO4uEgaRp-cvjtz7fb3QoSRmC9idU5Gdylbn0qstytLnvKwroTfM7g634S0je8V8jMS78nZYB&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=ACf%2FKVVTZHBFvVfO0y9K4w%3D%3D&trk=flagship3_jobs_discovery_jymbii,Atidiv,07-10-2024,2,Analytics
